Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,City,San Diego,Council District 2,Council Representative I,False,False,,23400,147514,,91686,0,0,-229,91457,11322,0,917,16800,29039,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Cultural Affairs,Public Art Program Administrator,False,False,,81682,98987,,93107,0,0,-1653,91454,10689,0,917,7617,19223,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Environmental Services,Hazardous Materials Inspector II,False,False,,77854,94390,,81859,10462,0,-868,91453,11700,0,915,6054,18669,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Compliance,Senior Management Analyst,False,False,,80059,96803,,85551,2551,0,3344,91446,11536,0,2643,8351,22530,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Fire-Rescue,Lifeguard II,False,False,,61069,73861,,72015,5182,59,14186,91442,14810,0,2559,7719,25088,3.0% @ 50,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,City Attorney,Legal Secretary II,False,False,,71115,86008,,81792,0,0,9621,91413,11085,0,2879,528,14492,2.5% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Fire-Rescue,Fire Fighter II,False,False,,64168,77438,,56998,12112,225,22076,91411,13840,0,0,7690,21530,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Department Of Finance,Finance Analyst III,False,False,,85613,104000,,91680,0,0,-273,91407,9788,0,876,20167,30831,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Fire-Rescue,Fire Dispatcher,False,False,,58406,70574,,55423,28426,0,7549,91398,6108,0,916,18469,25493,1.0% @ 55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,City Attorney,City Attorney Investigator II,False,False,,82430,99757,,92517,0,0,-1131,91386,0,0,0,7325,7325,N/A,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
2023,City,San Diego,Police,Police Officer I,False,False,,71822,86653,,67749,16184,2562,4890,91385,15725,0,0,14541,30266,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,www.sandiego.gov,1385379,06/25/2024,San Diego,,False,
